Node,PktsSent,PktsRecv,BytesSent,BytesRecv,AvgDelay_s,Crypto_ms,InitE_J,FinalE_J
49,4,2,356,320,0.000000,0.593000,0.000000,0.000000
48,0,0,0,0,0.000000,0.000000,0.000000,0.000000
47,0,0,0,0,0.000000,0.000000,0.000000,0.000000
46,0,0,0,0,0.000000,0.000000,0.000000,0.000000
45,0,0,0,0,0.000000,0.000000,0.000000,0.000000
44,0,0,0,0,0.000000,0.000000,0.000000,0.000000
43,0,0,0,0,0.000000,0.000000,0.000000,0.000000
42,0,0,0,0,0.000000,0.000000,0.000000,0.000000
41,0,0,0,0,0.000000,0.000000,0.000000,0.000000
40,0,0,0,0,0.000000,0.000000,0.000000,0.000000
39,0,0,0,0,0.000000,0.000000,0.000000,0.000000
38,0,0,0,0,0.000000,0.000000,0.000000,0.000000
37,0,0,0,0,0.000000,0.000000,0.000000,0.000000
36,0,0,0,0,0.000000,0.000000,0.000000,0.000000
35,0,0,0,0,0.000000,0.000000,0.000000,0.000000
34,0,0,0,0,0.000000,0.000000,0.000000,0.000000
33,0,0,0,0,0.000000,0.000000,0.000000,0.000000
32,0,0,0,0,0.000000,0.000000,0.000000,0.000000
31,0,0,0,0,0.000000,0.000000,0.000000,0.000000
30,0,0,0,0,0.000000,0.000000,0.000000,0.000000
29,0,0,0,0,0.000000,0.000000,0.000000,0.000000
12,0,0,0,0,0.000000,0.000000,0.000000,0.000000
11,0,0,0,0,0.000000,0.000000,0.000000,0.000000
10,0,0,0,0,0.000000,0.000000,0.000000,0.000000
9,0,0,0,0,0.000000,0.000000,0.000000,0.000000
8,0,0,0,0,0.000000,0.000000,0.000000,0.000000
7,0,0,0,0,0.000000,0.000000,0.000000,0.000000
6,0,0,0,0,0.000000,0.000000,0.000000,0.000000
5,0,0,0,0,0.000000,0.000000,0.000000,0.000000
4,0,0,0,0,0.000000,0.000000,0.000000,0.000000
3,0,0,0,0,0.000000,0.000000,0.000000,0.000000
2,0,0,0,0,0.000000,0.000000,0.000000,0.000000
1,1,6,160,390,0.000029,0.338000,0.000000,0.000000
0,5,2,372,178,0.000000,0.377000,0.000000,0.000000
13,0,0,0,0,0.000000,0.000000,0.000000,0.000000
14,0,0,0,0,0.000000,0.000000,0.000000,0.000000
15,0,0,0,0,0.000000,0.000000,0.000000,0.000000
16,0,0,0,0,0.000000,0.000000,0.000000,0.000000
17,0,0,0,0,0.000000,0.000000,0.000000,0.000000
18,0,0,0,0,0.000000,0.000000,0.000000,0.000000
19,0,0,0,0,0.000000,0.000000,0.000000,0.000000
20,0,0,0,0,0.000000,0.000000,0.000000,0.000000
21,0,0,0,0,0.000000,0.000000,0.000000,0.000000
22,0,0,0,0,0.000000,0.000000,0.000000,0.000000
23,0,0,0,0,0.000000,0.000000,0.000000,0.000000
24,0,0,0,0,0.000000,0.000000,0.000000,0.000000
25,0,0,0,0,0.000000,0.000000,0.000000,0.000000
26,0,0,0,0,0.000000,0.000000,0.000000,0.000000
27,0,0,0,0,0.000000,0.000000,0.000000,0.000000
28,0,0,0,0,0.000000,0.000000,0.000000,0.000000
ALL,10,10,888,888,0.000018,1.308000,0.000000,0.000000
