Node,PktsSent,PktsRecv,BytesSent,BytesRecv,AvgDelay_s,Crypto_ms,InitE_J,FinalE_J
9,4,2,388,336,0.503720,0.853000,500.000000,499.074153
8,0,0,0,0,0.000000,0.000000,500.000000,499.074091
7,0,0,0,0,0.000000,0.000000,500.000000,499.073921
6,0,0,0,0,0.000000,0.000000,500.000000,499.074446
5,0,0,0,0,0.000000,0.000000,500.000000,499.075006
4,0,0,0,0,0.000000,0.000000,500.000000,499.074596
3,0,0,0,0,0.000000,0.000000,500.000000,499.074131
2,0,0,0,0,0.000000,0.000000,500.000000,499.075102
1,1,502,168,27586,0.000077,2.263000,500.000000,499.079408
0,501,2,27560,194,0.002727,5.543000,500.000000,499.079327
ALL,506,506,28116,28116,0.002079,8.659000,5000.000000,4990.754180
