Node,PktsSent,PktsRecv,BytesSent,BytesRecv,AvgDelay_s,Crypto_ms,InitE_J,FinalE_J
29,4,2,388,336,0.004704,0.790000,500.000000,499.061148
12,0,0,0,0,0.000000,0.000000,500.000000,499.062838
11,0,0,0,0,0.000000,0.000000,500.000000,499.064187
10,0,0,0,0,0.000000,0.000000,500.000000,499.063899
9,0,0,0,0,0.000000,0.000000,500.000000,499.061572
8,0,0,0,0,0.000000,0.000000,500.000000,499.062819
7,0,0,0,0,0.000000,0.000000,500.000000,499.062144
6,0,0,0,0,0.000000,0.000000,500.000000,499.062720
5,0,0,0,0,0.000000,0.000000,500.000000,499.062274
4,0,0,0,0,0.000000,0.000000,500.000000,499.060562
3,0,0,0,0,0.000000,0.000000,500.000000,499.059895
2,0,0,0,0,0.000000,0.000000,500.000000,499.062811
1,1,90,168,4937,0.000205,0.700000,500.000000,499.062094
0,89,2,4911,194,0.000893,1.323000,500.000000,499.063633
13,0,0,0,0,0.000000,0.000000,500.000000,499.061354
14,0,0,0,0,0.000000,0.000000,500.000000,499.064689
15,0,0,0,0,0.000000,0.000000,500.000000,499.062936
16,0,0,0,0,0.000000,0.000000,500.000000,499.062712
17,0,0,0,0,0.000000,0.000000,500.000000,499.063915
18,0,0,0,0,0.000000,0.000000,500.000000,499.063099
19,0,0,0,0,0.000000,0.000000,500.000000,499.062168
20,0,0,0,0,0.000000,0.000000,500.000000,499.062834
21,0,0,0,0,0.000000,0.000000,500.000000,499.063126
22,0,0,0,0,0.000000,0.000000,500.000000,499.062541
23,0,0,0,0,0.000000,0.000000,500.000000,499.060882
24,0,0,0,0,0.000000,0.000000,500.000000,499.061434
25,0,0,0,0,0.000000,0.000000,500.000000,499.061434
26,0,0,0,0,0.000000,0.000000,500.000000,499.061450
27,0,0,0,0,0.000000,0.000000,500.000000,499.062621
28,0,0,0,0,0.000000,0.000000,500.000000,499.062637
ALL,94,94,5467,5467,0.000316,2.813000,15000.000000,14971.872429
