Node,PktsSent,PktsRecv,BytesSent,BytesRecv,AvgDelay_s,Crypto_ms,InitE_J,FinalE_J
59,4,2,388,336,0.249301,0.842000,500.000000,490.186779
28,0,0,0,0,0.000000,0.000000,500.000000,490.196336
27,0,0,0,0,0.000000,0.000000,500.000000,490.171654
26,0,0,0,0,0.000000,0.000000,500.000000,490.166521
25,0,0,0,0,0.000000,0.000000,500.000000,490.171832
24,0,0,0,0,0.000000,0.000000,500.000000,490.140915
23,0,0,0,0,0.000000,0.000000,500.000000,490.161892
22,0,0,0,0,0.000000,0.000000,500.000000,490.154567
21,0,0,0,0,0.000000,0.000000,500.000000,490.226130
20,0,0,0,0,0.000000,0.000000,500.000000,490.235185
19,0,0,0,0,0.000000,0.000000,500.000000,490.213620
18,0,0,0,0,0.000000,0.000000,500.000000,490.213398
17,0,0,0,0,0.000000,0.000000,500.000000,490.194265
16,0,0,0,0,0.000000,0.000000,500.000000,490.189184
15,0,0,0,0,0.000000,0.000000,500.000000,490.174370
14,0,0,0,0,0.000000,0.000000,500.000000,490.166011
13,0,0,0,0,0.000000,0.000000,500.000000,490.110888
0,513,2,28220,194,0.000488,6.542000,500.000000,490.184659
1,1,513,168,28191,0.000077,2.373000,500.000000,490.173526
2,0,0,0,0,0.000000,0.000000,500.000000,490.099277
3,0,0,0,0,0.000000,0.000000,500.000000,490.078034
4,0,0,0,0,0.000000,0.000000,500.000000,490.130360
5,0,0,0,0,0.000000,0.000000,500.000000,490.144815
6,0,0,0,0,0.000000,0.000000,500.000000,490.180932
7,0,0,0,0,0.000000,0.000000,500.000000,490.204811
8,0,0,0,0,0.000000,0.000000,500.000000,490.209365
9,0,0,0,0,0.000000,0.000000,500.000000,490.186936
10,0,0,0,0,0.000000,0.000000,500.000000,490.188263
11,0,0,0,0,0.000000,0.000000,500.000000,490.223667
12,0,0,0,0,0.000000,0.000000,500.000000,490.173722
29,0,0,0,0,0.000000,0.000000,500.000000,490.198673
30,0,0,0,0,0.000000,0.000000,500.000000,490.247005
31,0,0,0,0,0.000000,0.000000,500.000000,490.237794
32,0,0,0,0,0.000000,0.000000,500.000000,490.213115
33,0,0,0,0,0.000000,0.000000,500.000000,490.174350
34,0,0,0,0,0.000000,0.000000,500.000000,490.161738
35,0,0,0,0,0.000000,0.000000,500.000000,490.163271
36,0,0,0,0,0.000000,0.000000,500.000000,490.158387
37,0,0,0,0,0.000000,0.000000,500.000000,490.170865
38,0,0,0,0,0.000000,0.000000,500.000000,490.193358
39,0,0,0,0,0.000000,0.000000,500.000000,490.206947
40,0,0,0,0,0.000000,0.000000,500.000000,490.240663
41,0,0,0,0,0.000000,0.000000,500.000000,490.239385
42,0,0,0,0,0.000000,0.000000,500.000000,490.241536
43,0,0,0,0,0.000000,0.000000,500.000000,490.175637
44,0,0,0,0,0.000000,0.000000,500.000000,490.181357
45,0,0,0,0,0.000000,0.000000,500.000000,490.181200
46,0,0,0,0,0.000000,0.000000,500.000000,490.174051
47,0,0,0,0,0.000000,0.000000,500.000000,490.178287
48,0,0,0,0,0.000000,0.000000,500.000000,490.210124
49,0,0,0,0,0.000000,0.000000,500.000000,490.206829
50,0,0,0,0,0.000000,0.000000,500.000000,490.210893
51,0,0,0,0,0.000000,0.000000,500.000000,490.218838
52,0,0,0,0,0.000000,0.000000,500.000000,490.196769
53,0,0,0,0,0.000000,0.000000,500.000000,490.183418
54,0,0,0,0,0.000000,0.000000,500.000000,490.173168
55,0,0,0,0,0.000000,0.000000,500.000000,490.167734
56,0,0,0,0,0.000000,0.000000,500.000000,490.174827
57,0,0,0,0,0.000000,0.000000,500.000000,490.185064
58,0,0,0,0,0.000000,0.000000,500.000000,490.199811
ALL,518,517,28776,28721,0.001043,9.757000,30000.000000,29411.117012
